Year,State,AgencyType,Agency Name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population1
,,,DeSoto,0,0,0,0,52038
,,,Devine,0,0,0,0,4587
,,,Diboll,0,0,0,0,5301
,,,Dickinson,0,0,0,0,19429
,,,Dilley,0,0,0,0,4113
,,,Dimmitt,0,0,0,0,4404
,,,Donna,0,0,0,0,16374
,,,Double Oak,0,0,0,0,3025
,,,Driscoll,0,0,0,0,760
,,,Dublin,0,0,0,0,3710
,,,Dumas,0,0,0,0,15010
,,,Duncanville,0,0,0,0,39859
,,,Eagle Lake,0,0,0,0,3619
,,,Eagle Pass,0,0,0,0,28036
,,,Early,0,0,0,0,2812
,,,Eastland,0,0,0,0,3872
,,,East Mountain,0,0,0,0,802
,,,Edcouch,0,0,0,0,3219
,,,Edgewood,0,0,0,0,1439
,,,Edinburg,0,0,0,0,82349
,,,Edna,0,0,0,0,5777
,,,El Campo,0,0,0,0,11455
,,,Electra,0,0,0,0,2758
,,,Elgin,0,0,0,0,8484
,,,Elsa,0,0,0,0,6820
,,,Ennis,0,0,0,0,18743
,,,Euless,0,0,0,0,53674
,,,Everman,0,0,0,0,6307
,,,Fairfield,0,0,0,0,2885
,,,Fair Oaks Ranch,0,0,0,0,6718
,,,Fairview,0,0,0,0,8375
,,,Falfurrias,0,0,0,0,4985
,,,Farmers Branch,0,0,0,0,32478
,,,Farmersville,0,0,0,0,3415
,,,Farwell,0,0,0,0,1310
,,,Ferris,0,0,0,0,2499
,,,Flatonia,0,0,0,0,1393
,,,Florence,0,0,0,0,1207
,,,Floresville,0,0,0,0,7160
,,,Flower Mound,0,0,0,0,69572
,,,Floydada,0,0,0,0,2923
,,,Forest Hill,0,0,0,0,12781
,,,Forney,0,0,0,0,17167
,,,Fort Stockton,0,0,0,0,8403
,,,Frankston,0,0,0,0,1187
,,,Fredericksburg,0,0,0,0,10898
,,,Freeport,0,0,0,0,12104
,,,Friendswood,0,0,0,0,38012
,,,Friona,0,0,0,0,3961
,,,Frisco,0,0,0,0,141940
,,,Fulton,0,0,0,0,1447
,,,Gainesville,0,0,0,0,16036
,,,Galena Park,0,0,0,0,11159
,,,Ganado,0,0,0,0,2062
,,,Garden Ridge,0,0,0,0,3738
,,,Gatesville,0,0,0,0,15991
,,,Giddings,0,0,0,0,5042
,,,Gladewater,0,0,0,0,6455
,,,Glenn Heights,0,0,0,0,11869
,,,Godley,0,0,0,0,1032
,,,Gonzales,0,0,0,0,7452
,,,Gorman,0,0,0,0,1046
,,,Graham,0,0,0,0,8833
,,,Granbury,0,0,0,0,8973
,,,Grand Prairie,0,0,0,0,185273
,,,Grand Saline,0,0,0,0,3098
,,,Granger,0,0,0,0,1487
,,,Granite Shoals,0,0,0,0,4938
,,,Grapeland,0,0,0,0,1418
,,,Grapevine,0,0,0,0,51135
,,,Greenville,0,0,0,0,25983
,,,Gregory,0,0,0,0,1948
,,,Groesbeck,0,0,0,0,4304
,,,Groves,0,0,0,0,15729
,,,Gruver,0,0,0,0,1179
,,,Gun Barrel City,0,0,0,0,5946
,,,Hale Center,0,0,0,0,2193
,,,Hallettsville,0,0,0,0,2605
,,,Hallsville,0,0,0,0,3912
,,,Haltom City,0,0,0,0,43856
,,,Hamlin,0,0,0,0,2042
,,,Harker Heights,0,0,0,0,28484
,,,Haskell,0,0,0,0,3304
,,,Hawkins,0,0,0,0,1334
,,,Hawley,0,0,0,0,608
,,,Hearne,0,0,0,0,4441
,,,Heath,0,0,0,0,7876
,,,Hedwig Village,0,0,0,0,2656
,,,Helotes,0,0,0,0,8295
,,,Hemphill,0,0,0,0,1193
,,,Henderson,0,0,0,0,13693
,,,Hereford,0,0,0,0,15158
,,,Hewitt,0,0,0,0,14166
,,,Hickory Creek,0,0,0,0,4175
,,,Hidalgo,0,0,0,0,13446
,,,Highland Park,0,0,0,0,8934
,,,Highland Village,0,0,0,0,15908
,,,Hill Country Village,0,0,0,0,1028
,,,Hillsboro,0,0,0,0,8334
,,,Hitchcock,0,0,0,0,7380
,,,Holliday,0,0,0,0,1690
,,,Hollywood Park,0,0,0,0,3229
,,,Hondo,0,0,0,0,9045
,,,Hooks,0,0,0,0,2755
,,,Horizon City,0,0,0,0,19564
,,,Horseshoe Bay,0,0,0,0,3444
,,,Howe,0,0,0,0,2610
,,,Hubbard,0,0,0,0,1393
,,,Hudson,0,0,0,0,4717
,,,Hudson Oaks,0,0,0,0,1914
,,,Hughes Springs,0,0,0,0,1769
,,,Humble,0,0,0,0,15588
,,,Huntington,0,0,0,0,2106
,,,Huntsville,0,0,0,0,40059
,,,Hurst,0,0,0,0,38709
,,,Hutchins,0,0,0,0,5409
,,,Hutto,0,0,0,0,20567
,,,Idalou,0,0,0,0,2320
,,,Ingleside,0,0,0,0,9612
,,,Ingram,0,0,0,0,1810
,,,Irving,0,0,0,0,231708
,,,Italy,0,0,0,0,1874
,,,Itasca,0,0,0,0,1611
,,,Jacinto City,0,0,0,0,10794
,,,Jacksboro,0,0,0,0,4499
,,,Jacksonville,0,0,0,0,14755
,,,Jamaica Beach,0,0,0,0,1020
,,,Jarrell,0,0,0,0,1047
,,,Jasper,0,0,0,0,7661
,,,Jefferson,0,0,0,0,2043
,,,Jersey Village,0,0,0,0,7919
,,,Jewett,0,0,0,0,1164
,,,Johnson City,0,0,0,0,1813
,,,Jones Creek,0,0,0,0,2059
,,,Jonestown,0,0,0,0,2030
,,,Joshua,0,0,0,0,5945
,,,Jourdanton,0,0,0,0,4175
,,,Junction,0,0,0,0,2483
,,,Karnes City,0,0,0,0,3278
,,,Katy,0,0,0,0,15238
,,,Kaufman,0,0,0,0,6971
,,,Keene,0,0,0,0,6072
,,,Kemah,0,0,0,0,1964
,,,Kenedy,0,0,0,0,3469
,,,Kennedale,0,0,0,0,7347
,,,Kerens,0,0,0,0,1560
,,,Kermit,0,0,0,0,6222
,,,Kerrville,0,0,0,0,22728
,,,Kingsville,0,0,0,0,26329
,,,Kirby,0,0,0,0,8356
,,,Kirbyville,0,0,0,0,2137
,,,Kountze,0,0,0,0,2103
,,,Kress,0,0,0,0,709
,,,Kyle,0,0,0,0,32649
,,,Lacy-Lakeview,0,0,0,0,6655
,,,La Feria,0,0,0,0,7266
,,,Lago Vista,0,0,0,0,6539
,,,La Grange,0,0,0,0,4685
,,,Laguna Vista,0,0,0,0,3231
,,,La Grulla,0,0,0,0,1652
,,,La Joya,0,0,0,0,4210
,,,Lake Dallas,0,0,0,0,7389
,,,Lake Jackson,0,0,0,0,27536
,,,Lakeside,0,0,0,0,1378
,,,"Lakeview, Harrison County",0,0,0,0,6434
,,,Lakeway,0,0,0,0,13554
,,,Lake Worth,0,0,0,0,4727
,,,La Marque,0,0,0,0,15303
,,,Lamesa,0,0,0,0,9334
,,,La Porte,0,0,0,0,34852
,,,Laredo,0,0,0,0,250994
,,,La Vernia,0,0,0,0,1209
,,,La Villa,0,0,0,0,2002
,,,Lavon,0,0,0,0,2474
,,,Leander,0,0,0,0,33112
,,,Leon Valley,0,0,0,0,10961
,,,Levelland,0,0,0,0,14042
,,,Lewisville,0,0,0,0,102439
,,,Lexington,0,0,0,0,1162
,,,Liberty,0,0,0,0,8945
,,,Lindale,0,0,0,0,5450
,,,Linden,0,0,0,0,1978
,,,Little Elm,0,0,0,0,34603
,,,Littlefield,0,0,0,0,6246
,,,Live Oak,0,0,0,0,15160
,,,Livingston,0,0,0,0,5168
,,,Llano,0,0,0,0,3323
,,,Lockhart,0,0,0,0,13185
,,,Lockney,0,0,0,0,1758
,,,Lone Star,0,0,0,0,1566
,,,Lorena,0,0,0,0,1730
,,,Lorenzo,0,0,0,0,1161
,,,Los Fresnos,0,0,0,0,6288
,,,Lott,0,0,0,0,739
,,,Lufkin,0,0,0,0,36327
,,,Luling,0,0,0,0,5722
,,,Lumberton,0,0,0,0,12228
,,,Lyford,0,0,0,0,2581
,,,Lytle,0,0,0,0,2743
,,,Madisonville,0,0,0,0,4564
,,,Magnolia,0,0,0,0,1587
,,,Malakoff,0,0,0,0,2309
,,,Manor,0,0,0,0,6700
,,,Mansfield,0,0,0,0,61935
,,,Manvel,0,0,0,0,6998
,,,Marble Falls,0,0,0,0,6140
,,,Marlin,0,0,0,0,5792
,,,Marshall,0,0,0,0,24749
,,,Martindale,0,0,0,0,1171
,,,Mathis,0,0,0,0,5022
,,,McAllen,0,0,0,0,138122
,,,McGregor,0,0,0,0,5062
,,,Meadows Place,0,0,0,0,4764
,,,Melissa,0,0,0,0,6513
,,,Memorial Villages,0,0,0,0,11848
,,,Memphis,0,0,0,0,2187
,,,Meridian,0,0,0,0,1452
,,,Merkel,0,0,0,0,2592
,,,Mesquite,0,0,0,0,144396
,,,Mexia,0,0,0,0,7438
,,,Midland,0,0,0,0,127344
,,,Midlothian,0,0,0,0,20348
,,,Milford,0,0,0,0,730
,,,Mineola,0,0,0,0,4558
,,,Mineral Wells,0,0,0,0,16770
,,,Mission,0,0,0,0,81871
,,,Missouri City,0,0,0,0,70853
,,,Monahans,0,0,0,0,7468
,,,Mont Belvieu,0,0,0,0,4662
,,,Montgomery,0,0,0,0,689
,,,Morgans Point Resort,0,0,0,0,4230
,,,Moulton,0,0,0,0,891
,,,Mount Pleasant,0,0,0,0,16136
,,,Muleshoe,0,0,0,0,5116
,,,Munday,0,0,0,0,1307
,,,Murphy,0,0,0,0,19914
,,,Mustang Ridge,0,0,0,0,941
,,,Nacogdoches,0,0,0,0,34096
,,,Naples,0,0,0,0,1371
,,,Nash,0,0,0,0,3111
,,,Nassau Bay,0,0,0,0,4108
,,,Navasota,0,0,0,0,7294
,,,Nederland,0,0,0,0,17571
,,,Needville,0,0,0,0,3013
,,,New Boston,0,0,0,0,4544
,,,New Deal,0,0,0,0,797
,,,Nixon,0,0,0,0,2452
,,,Nocona,0,0,0,0,2977
,,,Nolanville,0,0,0,0,4507
,,,Northeast,0,0,0,0,2522
,,,Northlake,0,0,0,0,1889
,,,North Richland Hills,0,0,0,0,68309
,,,Oak Ridge,0,0,0,0,168
,,,Oak Ridge North,0,0,0,0,3166
,,,O'Donnell,0,0,0,0,805
,,,Olmos Park,0,0,0,0,2333
,,,Olney,0,0,0,0,3209
,,,Olton,0,0,0,0,2177
,,,Omaha,0,0,0,0,1020
,,,Onalaska,0,0,0,0,1703
,,,Orange,0,0,0,0,18995
,,,Orange Grove,0,0,0,0,1362
,,,Overton,0,0,0,0,2535
,,,Ovilla,0,0,0,0,3552
,,,Oyster Creek,0,0,0,0,1118
,,,Paducah,0,0,0,0,1132
,,,Palacios,0,0,0,0,4646
,,,Palestine,0,0,0,0,18579
,,,Palmer,0,0,0,0,2026
,,,Palmhurst,0,0,0,0,2661
,,,Palm Valley,0,0,0,0,1307
,,,Palmview,0,0,0,0,5634
,,,Pampa,0,0,0,0,18520
,,,Panhandle,0,0,0,0,2332
,,,Pantego,0,0,0,0,2500
,,,Paris,0,0,0,0,24844
,,,Parker,0,0,0,0,4152
,,,Pasadena,0,0,0,0,153540
,,,Pearsall,0,0,0,0,9737
,,,Pecos,0,0,0,0,8931
,,,Pelican Bay,0,0,0,0,1579
,,,Penitas,0,0,0,0,4590
,,,Perryton,0,0,0,0,9440
,,,Pflugerville,0,0,0,0,55101
,,,Pharr,0,0,0,0,74555
,,,Pilot Point,0,0,0,0,4042
,,,Pinehurst,0,0,0,0,2078
,,,Pittsburg,0,0,0,0,4522
,,,Plainview,0,0,0,0,21765
,,,Plano,0,0,0,0,277822
,,,Pleasanton,0,0,0,0,9658
,,,Ponder,0,0,0,0,1473
,,,Port Aransas,0,0,0,0,3854
,,,Port Arthur,0,0,0,0,54178
,,,Port Isabel,0,0,0,0,5000
,,,Portland,0,0,0,0,15879
,,,Port Lavaca,0,0,0,0,12414
,,,Port Neches,0,0,0,0,12726
,,,Poteet,0,0,0,0,3396
,,,Poth,0,0,0,0,2065
,,,Pottsboro,0,0,0,0,2209
,,,Prairie View,0,0,0,0,5920
,,,Premont,0,0,0,0,2703
,,,Presidio,0,0,0,0,3990
,,,Primera,0,0,0,0,4135
,,,Princeton,0,0,0,0,7968
,,,Progreso,0,0,0,0,5858
,,,Prosper,0,0,0,0,13916
,,,Queen City,0,0,0,0,1475
,,,Quitman,0,0,0,0,1811
,,,Ralls,0,0,0,0,1909
,,,Rancho Viejo,0,0,0,0,2502
,,,Ranger,0,0,0,0,2446
,,,Ransom Canyon,0,0,0,0,1115
,,,Raymondville,0,0,0,0,11113
,,,Red Oak,0,0,0,0,11352
,,,Refugio,0,0,0,0,2854
,,,Reno,0,0,0,0,3248
,,,Richland Hills,0,0,0,0,8044
,,,Richmond,0,0,0,0,11921
,,,Richwood,0,0,0,0,3700
,,,Riesel,0,0,0,0,1019
,,,Rio Grande City,0,0,0,0,14065
,,,Rio Hondo,0,0,0,0,2412
,,,Rising Star,0,0,0,0,790
,,,River Oaks,0,0,0,0,7664
,,,Roanoke,0,0,0,0,6808
,,,Robinson,0,0,0,0,11488
,,,Robstown,0,0,0,0,11742
,,,Rockdale,0,0,0,0,5374
,,,Rockport,0,0,0,0,10208
,,,Rollingwood,0,0,0,0,1532
,,,Roma,0,0,0,0,9962
,,,Roman Forest,0,0,0,0,1842
,,,Roscoe,0,0,0,0,1306
,,,Rosebud,0,0,0,0,1391
,,,Rose City,0,0,0,0,511
,,,Rosenberg,0,0,0,0,33598
,,,Round Rock,0,0,0,0,112199
,,,Rowlett,0,0,0,0,58474
,,,Royse City,0,0,0,0,10491
,,,Runaway Bay,0,0,0,0,1390
,,,Rusk,0,0,0,0,5566
,,,Sabinal,0,0,0,0,1694
,,,Sachse,0,0,0,0,22434
,,,Saginaw,0,0,0,0,21607
,,,Salado,0,0,0,0,2155
,,,San Angelo,0,0,0,0,98477
,,,San Augustine,0,0,0,0,2094
,,,San Benito,0,0,0,0,24392
,,,San Diego,0,0,0,0,4453
,,,Sanger,0,0,0,0,7532
,,,San Juan,0,0,0,0,35982
,,,San Marcos,0,0,0,0,56623
,,,San Saba,0,0,0,0,3098
,,,Sansom Park Village,0,0,0,0,4821
,,,Santa Anna,0,0,0,0,1047
,,,Santa Fe,0,0,0,0,12701
,,,Santa Rosa,0,0,0,0,2892
,,,Schertz,0,0,0,0,36961
,,,Schulenburg,0,0,0,0,2904
,,,Seabrook,0,0,0,0,12816
,,,Seagoville,0,0,0,0,15660
,,,Seagraves,0,0,0,0,2672
,,,Sealy,0,0,0,0,6253
,,,Seguin,0,0,0,0,27031
,,,Selma,0,0,0,0,8201
,,,Seminole,0,0,0,0,7167
,,,Seven Points,0,0,0,0,1430
,,,Seymour,0,0,0,0,2632
,,,Shallowater,0,0,0,0,2526
,,,Shamrock,0,0,0,0,2059
,,,Shavano Park,0,0,0,0,3382
,,,Shenandoah,0,0,0,0,2669
,,,Shoreacres,0,0,0,0,1592
,,,Silsbee,0,0,0,0,6708
,,,Sinton,0,0,0,0,5745
,,,Slaton,0,0,0,0,6066
,,,Smithville,0,0,0,0,3953
,,,Snyder,0,0,0,0,11610
,,,Socorro,0,0,0,0,32624
,,,Somerset,0,0,0,0,1722
,,,Somerville,0,0,0,0,1347
,,,Sonora,0,0,0,0,2923
,,,Sour Lake,0,0,0,0,1786
,,,South Houston,0,0,0,0,17494
,,,Southlake,0,0,0,0,28640
,,,Southmayd,0,0,0,0,988
,,,Southside Place,0,0,0,0,1800
,,,Spearman,0,0,0,0,3328
,,,Splendora,0,0,0,0,1664
,,,Springtown,0,0,0,0,2737
,,,Spring Valley,0,0,0,0,4086
,,,Stafford,0,0,0,0,18224
,,,Stagecoach,0,0,0,0,568
,,,Stamford,0,0,0,0,3017
,,,Stanton,0,0,0,0,2836
,,,Stephenville,0,0,0,0,18947
,,,St. Jo,0,0,0,0,1022
,,,Stratford,0,0,0,0,2087
,,,Sullivan City,0,0,0,0,4141
,,,Sulphur Springs,0,0,0,0,15967
,,,Sunray,0,0,0,0,1919
,,,Sunrise Beach Village,0,0,0,0,720
,,,Sunset Valley,0,0,0,0,693
,,,Surfside Beach,0,0,0,0,523
,,,Sweeny,0,0,0,0,3733
,,,Sweetwater,0,0,0,0,10723
,,,Taft,0,0,0,0,3072
,,,Tahoka,0,0,0,0,2559
,,,Tatum,0,0,0,0,1386
,,,Taylor,0,0,0,0,16449
,,,Teague,0,0,0,0,3575
,,,Temple,0,0,0,0,71049
,,,Terrell,0,0,0,0,16466
,,,Terrell Hills,0,0,0,0,5138
,,,Texarkana,0,0,0,0,37687
,,,Texas City,0,0,0,0,46273
,,,The Colony,0,0,0,0,40228
,,,Thorndale,0,0,0,0,1298
,,,Thrall,0,0,0,0,909
,,,Three Rivers,0,0,0,0,1942
,,,Timpson,0,0,0,0,1175
,,,Tioga,0,0,0,0,820
,,,Tolar,0,0,0,0,728
,,,Tool,0,0,0,0,2243
,,,Trinity,0,0,0,0,2662
,,,Trophy Club,0,0,0,0,11129
,,,Troup,0,0,0,0,1911
,,,Troy,0,0,0,0,1741
,,,Tulia,0,0,0,0,4882
,,,Tye,0,0,0,0,1222
,,,Tyler,0,0,0,0,100969
,,,Universal City,0,0,0,0,19570
,,,University Park,0,0,0,0,24219
,,,Uvalde,0,0,0,0,16411
,,,Valley Mills,0,0,0,0,1165
,,,Valley View,0,0,0,0,760
,,,Van,0,0,0,0,2653
,,,Van Alstyne,0,0,0,0,3107
,,,Venus,0,0,0,0,3168
,,,Vidor,0,0,0,0,10954
,,,Waco,0,0,0,0,129944
,,,Waelder,0,0,0,0,1101
,,,Wake Village,0,0,0,0,5487
,,,Waller,0,0,0,0,2415
,,,Wallis,0,0,0,0,1274
,,,Watauga,0,0,0,0,24348
,,,Waxahachie,0,0,0,0,32053
,,,Weatherford,0,0,0,0,27427
,,,Webster,0,0,0,0,11099
,,,Weimar,0,0,0,0,2139
,,,Weslaco,0,0,0,0,37458
,,,West,0,0,0,0,2839
,,,West Columbia,0,0,0,0,3912
,,,West Lake Hills,0,0,0,0,3305
,,,West Orange,0,0,0,0,3446
,,,Westover Hills,0,0,0,0,715
,,,West Tawakoni,0,0,0,0,1603
,,,West University Place,0,0,0,0,15509
,,,Westworth,0,0,0,0,2615
,,,Wharton,0,0,0,0,8738
,,,Whitehouse,0,0,0,0,8009
,,,White Oak,0,0,0,0,6372
,,,Whitesboro,0,0,0,0,3864
,,,White Settlement,0,0,0,0,16855
,,,Whitewright,0,0,0,0,1613
,,,Whitney,0,0,0,0,2081
,,,Willis,0,0,0,0,6127
,,,Willow Park,0,0,0,0,4595
,,,Wills Point,0,0,0,0,3511
,,,Wilmer,0,0,0,0,3829
,,,Windcrest,0,0,0,0,5668
,,,Wink,0,0,0,0,1024
,,,Winnsboro,0,0,0,0,3356
,,,Winters,0,0,0,0,2505
,,,Wolfforth,0,0,0,0,4070
,,,Woodbranch,0,0,0,0,1367
,,,Woodville,0,0,0,0,2495
,,,Woodway,0,0,0,0,8716
,,,Wortham,0,0,0,0,1053
,,,Wylie,0,0,0,0,45323
,,,Yoakum,0,0,0,0,5992
,,,Yorktown,0,0,0,0,2121
,,Universities and Colleges,Abilene Christian University,0,0,0,0,4461
,,,Alamo Community College District,0,0,0,0,57634
,,,Alvin Community College,0,0,0,0,5118
,,,Amarillo College,0,0,0,0,10873
,,,Angelo State University,0,0,0,0,6536
,,,Austin College,0,0,0,0,1223
,,,Baylor Health Care System3,0,0,0,0,
,,,"Baylor University, Waco",0,0,0,0,15616
,,,Brookhaven College,0,0,0,0,12319
,,,Central Texas College,0,0,0,0,21647
,,,College of the Mainland,0,0,0,0,4188
,,,El Paso Community College,0,0,0,0,30468
,,,Grayson College,0,0,0,0,5014
,,,Hardin-Simmons University,0,0,0,0,2220
,,,Houston Baptist University,0,0,0,0,2910
,,,Houston Community College,0,0,0,0,57978
,,,"Lamar University, Beaumont",0,0,0,0,14035
,,,Laredo Community College,0,0,0,0,8726
,,,McLennan Community College,0,0,0,0,8555
,,,Midwestern State University,0,0,0,0,5870
,,,Mountain View College,0,0,0,0,8797
,,,North Lake College,0,0,0,0,11365
,,,Prairie View A&M University,0,0,0,0,8283
,,,Rice University,0,0,0,0,6628
,,,Richland College,0,0,0,0,19287
,,,Southern Methodist University,0,0,0,0,10929
,,,South Plains College,0,0,0,0,9559
,,,Southwestern University,0,0,0,0,1535
,,,Stephen F. Austin State University,0,0,0,0,12772
,,,St. Mary's University,0,0,0,0,3868
,,,Texas A&M International University,0,0,0,0,7431
,,,Texas A&M University: ,,,,,
,,,Central Texas3,0,0,0,0,
,,,College Station,0,0,0,0,55697
,,,Commerce,0,0,0,0,11591
,,,Galveston3,0,0,0,0,
,,,Kingsville,0,0,0,0,12229
,,,San Antonio3,0,0,0,0,
,,,Texas Southern University,0,0,0,0,8703
,,,Texas State Technical College: ,,,,,
,,,Harlingen,0,0,0,0,5332
,,,Waco,0,0,0,0,3988
,,,West Texas,0,0,0,0,1281
,,,Texas Tech University,0,0,0,0,33111
,,,Texas Woman's University,0,0,0,0,15058
,,,Trinity University,0,0,0,0,2358
,,,Tyler Junior College,0,0,0,0,11308
,,,University of Houston: ,,,,,
,,,Central Campus,0,0,0,0,39540
,,,Clearlake,0,0,0,0,8164
,,,Downtown Campus,0,0,0,0,13757
,,,University of Mary Hardin-Baylor,0,0,0,0,3492
,,,University of North Texas:,,,,,
,,,Denton,0,0,0,0,38315
,,,Health Science Center,0,0,0,0,2142
,,,University of Texas:,,,,,
,,,Arlington,0,0,0,0,33329
,,,Austin,0,0,0,0,52059
,,,Brownsville,0,0,0,0,12285
,,,Dallas,0,0,0,0,21193
,,,El Paso,0,0,0,0,23003
,,,"Health Science Center, San Antonio",0,0,0,0,3148
,,,"Health Science Center, Tyler3",0,0,0,0,
,,,Houston,0,0,0,0,4932
,,,Medical Branch,0,0,0,0,3112
,,,Pan American,0,0,0,0,20053
,,,Permian Basin,0,0,0,0,5131
,,,San Antonio,0,0,0,0,28623
,,,Southwestern Medical School,0,0,0,0,2374
,,,Tyler,0,0,0,0,7476
,,,West Texas A&M University,0,0,0,0,8377
,,Metropolitan Counties,Aransas,0,0,0,0,
,,,Archer,0,0,0,0,
,,,Armstrong,0,0,0,0,
,,,Atascosa,0,0,0,0,
,,,Austin,0,0,0,0,
,,,Bandera,0,0,0,0,
,,,Bastrop,0,0,0,0,
,,,Bell,0,0,0,0,
,,,Bexar,0,0,0,0,
,,,Bowie,0,0,0,0,
,,,Brazoria,0,0,0,0,
,,,Brazos,0,0,0,0,
,,,Burleson,0,0,0,0,
,,,Caldwell,0,0,0,0,
,,,Callahan,0,0,0,0,
,,,Cameron,0,0,0,0,
,,,Carson,0,0,0,0,
,,,Chambers,0,0,0,0,
,,,Clay,0,0,0,0,
,,,Collin,0,0,0,0,
,,,Comal,0,0,0,0,
,,,Coryell,0,0,0,0,
,,,Crosby,0,0,0,0,
,,,Dallas,0,0,0,0,
,,,Denton,0,0,0,0,
,,,Ector,0,0,0,0,
,,,El Paso,0,0,0,0,
,,,Ellis,0,0,0,0,
,,,Falls,0,0,0,0,
,,,Fort Bend,0,0,0,0,
,,,Galveston,0,0,0,0,
,,,Goliad,0,0,0,0,
,,,Grayson,0,0,0,0,
,,,Gregg,0,0,0,0,
,,,Guadalupe,0,0,0,0,
,,,Hardin,0,0,,0,
,,,Hays,0,0,0,0,
,,,Hidalgo,0,0,0,0,
,,,Hood,0,0,0,0,
,,,Hudspeth,0,0,0,0,
,,,Hunt,0,0,0,0,
,,,Irion,0,0,0,0,
,,,Jefferson,0,0,0,0,
,,,Johnson,0,0,0,0,
,,,Jones,0,0,0,0,
,,,Kendall,0,0,0,0,
,,,Lampasas,0,0,0,0,
,,,Liberty,0,0,0,0,
,,,Lubbock,0,0,0,0,
,,,Lynn,0,0,0,0,
,,,Martin,0,0,0,0,
,,,McLennan,0,0,0,0,
,,,Medina,0,0,0,0,
,,,Midland,0,0,0,0,
,,,Montgomery,0,0,0,0,
,,,Newton,0,0,0,0,
,,,Nueces,0,0,0,0,
,,,Oldham,0,0,0,0,
,,,Orange,0,0,0,0,
,,,Parker,0,0,0,0,
,,,Potter,0,0,0,0,
,,,Randall,0,0,0,0,
,,,Robertson,0,0,0,0,
,,,Rockwall,0,0,0,0,
,,,Rusk,0,0,0,0,
,,,San Patricio,0,0,0,0,
,,,Smith,0,0,0,0,
,,,Somervell,0,0,0,0,
,,,Tarrant,0,0,0,0,
,,,Taylor,0,0,0,0,
,,,Tom Green,0,0,0,0,
,,,Upshur,0,0,0,0,
,,,Victoria,0,0,0,0,
,,,Waller,0,0,0,0,
,,,Webb,0,0,0,0,
,,,Wichita,0,0,0,0,
,,,Wilson,0,0,0,0,
,,,Wise,0,0,0,0,
,,Nonmetropolitan Counties,Anderson,0,0,0,0,
,,,Andrews,0,0,0,0,
,,,Angelina,0,0,0,0,
,,,Bailey,0,0,0,0,
,,,Baylor,0,0,0,0,
,,,Bee,0,0,0,0,
,,,Blanco,0,0,0,0,
,,,Borden,0,0,0,0,
,,,Bosque,0,0,0,0,
,,,Brewster,0,0,0,0,
,,,Briscoe,0,0,0,0,
,,,Brooks,0,0,0,0,
,,,Brown,0,0,0,0,
,,,Burnet,0,0,0,0,
,,,Calhoun,0,0,0,0,
,,,Camp,0,0,0,0,
,,,Cass,0,0,0,0,
,,,Castro,0,0,0,0,
,,,Cherokee,0,0,0,0,
,,,Childress,0,0,0,0,
,,,Cochran,0,0,0,0,
,,,Coke,0,0,0,0,
,,,Coleman,0,0,0,0,
,,,Collingsworth,0,0,0,0,
,,,Colorado,0,0,0,0,
,,,Comanche,0,0,0,0,
,,,Concho,0,0,0,0,
,,,Cooke,0,0,0,0,
,,,Cottle,0,0,0,0,
,,,Crane,0,0,0,0,
,,,Crockett,0,0,0,0,
,,,Culberson,0,0,0,0,
,,,Dallam,0,0,0,0,
,,,Dawson,0,0,0,0,
,,,Deaf Smith,0,0,0,0,
,,,Delta,0,0,0,0,
,,,DeWitt,0,0,0,0,
,,,Dickens,0,0,0,0,
,,,Dimmit,0,0,0,0,
,,,Donley,0,0,0,0,
,,,Duval,0,0,0,0,
,,,Eastland,0,0,0,0,
,,,Edwards,0,0,0,0,
,,,Erath,0,0,0,0,
,,,Fannin,0,0,0,0,
,,,Fayette,0,0,0,0,
,,,Fisher,0,0,0,0,
,,,Floyd,0,0,0,0,
,,,Foard,0,0,0,0,
,,,Franklin,0,0,0,0,
,,,Freestone,0,0,0,0,
,,,Frio,0,0,0,0,
,,,Gaines,0,0,0,0,
,,,Garza,0,0,0,0,
,,,Gillespie,0,0,0,0,
,,,Glasscock,0,0,0,0,
,,,Gonzales,0,0,0,0,
,,,Gray,0,0,0,0,
,,,Grimes,0,0,0,0,
,,,Hale,0,0,0,0,
,,,Hall,0,0,0,0,
,,,Hamilton,0,0,0,0,
,,,Hansford,0,0,0,0,
,,,Hardeman,0,0,0,0,
,,,Harrison,0,0,0,0,
,,,Hartley,0,0,0,0,
,,,Haskell,0,0,0,0,
,,,Hemphill,0,0,0,0,
,,,Henderson,0,0,0,0,
,,,Hill,0,0,0,0,
,,,Hockley,0,0,0,0,
,,,Hopkins,0,0,0,0,
,,,Houston,0,0,0,0,
,,,Howard,0,0,0,0,
,,,Hutchinson,0,0,0,0,
,,,Jack,0,0,0,0,
,,,Jackson,0,0,0,0,
,,,Jasper,0,0,0,0,
,,,Jeff Davis,0,0,0,0,
,,,Jim Hogg,0,0,0,0,
,,,Jim Wells,0,0,0,0,
,,,Karnes,0,0,0,0,
,,,Kenedy,0,0,0,0,
,,,Kent,0,0,0,0,
,,,Kerr,0,0,0,0,
,,,Kimble,0,0,0,0,
,,,King,0,0,0,0,
,,,Kinney,0,0,0,0,
,,,Kleberg,0,0,0,0,
,,,Knox,0,0,0,0,
,,,Lamar,0,0,0,0,
,,,Lamb,0,0,0,0,
